REPOSITORY                 TAG                 IMAGE ID            CREATED             SIZE
yourname/ubuntu-tmp-file   latest              18519eef19be        22 minutes ago      115MB
ubuntu                     16.04               e13f3d529b1a        3 days ago          115MB
hello-world                latest              2cb0d9787c4d        9 days ago          1.85kB
docker_web_alpine          latest              c38670c699bc        10 days ago         50.6MB
docker_web                 latest              2a04643756b7        10 days ago         257MB
projects_web               latest              2a04643756b7        10 days ago         257MB
wordpress                  fpm                 e2075726c857        13 days ago         398MB
wordpress                  latest              0d185e30e208        13 days ago         408MB
wordpress                  php5.6              ed5e5c4099f2        13 days ago         385MB
alpine                     3.7                 791c3e2ebfcb        2 weeks ago         4.2MB
elasticsearch              latest              bbb1111fe3d3        2 weeks ago         486MB
mysql                      5.7                 66bc0f66b7af        3 weeks ago         372MB
ubuntu                     latest              113a43faa138        6 weeks ago         81.2MB
wichon/alpine-apache-php   latest              1a028a709469        2 months ago        50.5MB
